idDirector,nombre,edad,telefono,sexo
D1,Todd Phillips,53,2649851,M
D2,Bong Joon-ho,54,5318743,M
D3,Makoto Shinkai,51,9517236,M
D4,David Fincher,61,7182495,M
D5,Martin Scorsese,81,7201445,M
D6,Damien Chazelle,39,6329174,M
D7,Adam McKay,56,4035882,M
D8,Jhon Krasinski,44,9914725,M
D9,Rob Reiner,77,3127945,M
D10,Steven Spielberg,77,4085711,M
D11,David Benioff,53,5049315,M
D12,Daniel Brett Weiss,51,8229941,M
D13,Matt Duffer,40,1384755,M
D14,Ross Duffer,40,4877518,M
D15,Eric Kripke,48,1584318,M
D16,Susanne Bier,64,7451885,F
D17,Linwood Boomer,69,4321570,M
D18,Johan Renck,57,7594823,M
D19,Scott Frank,62,2881544,M
D20,Allan Scott,82,3118755,M
D21,Baran bo Odar,46,5410781,M
D22,Jantje Friese,47,5221799,F
D23,Jesse Armstrong,53,8546915,M
D24,Clare Kilner,74,1147266,F
